ATC code,drug,count
R03AK04,DB01001,1227958,
R03AC02,DB01001,1227958,
R03CC02,DB01001,1227958,
R03AK13,DB01001,1227958,
R03AL02,DB01001,1227958,
R03AL02,DB00332,1234796,
N03AE01,DB01068,1228814,
A10BD09,DB01132,1221596,
A10BG03,DB01132,1221596,
A10BD05,DB01132,1221596,
A10BD05,DB00331,1224407,
A10BD06,DB00222,1231931,
A10BD06,DB01132,1221596,
A10BD12,DB01132,1221596,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C10AB02,DB01393,1223717,
N05CD02,DB01595,1222707,
R06AE09,DB06282,1230049,
A10BD25,DB00331,1224407,
A10BD10,DB00331,1224407,
C07FX05,DB00264,1228156,
C07FX06,DB01136,1226520,
C08CA09,DB09236,1218187,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
M04AA01,DB00437,891681,
M04AA51,DB00437,891681,
C01DA14,DB01020,1229661,
J01CR50,DB01060,1230235,
C09DA08,DB00275,1234376,
C09DX03,DB00381,1225161,
C09DX03,DB00275,1234376,
C09CA08,DB00275,1234376,
